Index,File Name,File Path,Class Name,Agent Count,Line Count,In Database,Description
1,"advertising_crew","agent-platform/app/crews/advertising_crew.py","AdvertisingCrew",0,143,NO,"Advertising Department Crew - 3 agents for campaigns, media planning, and performance"
2,"board_directors_crew","agent-platform/app/crews/board_directors_crew.py","BoardDirectorsCrew",0,871,NO,"AI Board of Directors with governance workflows      Features:     - 6 board member agents (Chairman"
3,"branding_crew","agent-platform/app/crews/branding_crew.py","BrandingCrew",0,143,NO,"Branding Department Crew - 3 agents for positioning, messaging, and identity"
4,"customer_success_crew","agent-platform/app/crews/customer_success_crew.py","CustomerSuccessCrew",0,128,NO,"Customer Success Department Crew - 2 agents for research and retention"
5,"deep_research_crew","agent-platform/app/crews/deep_research_crew.py","DeepResearchCrew",0,331,NO,"Deep Research Crew for comprehensive venture analysis      Composition:     - 40+ specialized agents"
6,"finance_department_crew","agent-platform/app/crews/finance_department_crew.py","FinanceDepartmentCrew",0,165,NO,"Finance Department Crew - 4 agents for financial analysis and planning"
7,"hierarchical_crew","agent-platform/app/crews/hierarchical_crew.py","HierarchicalCrew",2,489,NO,""
8,"investor_relations_crew","agent-platform/app/crews/investor_relations_crew.py","InvestorRelationsCrew",0,179,NO,"Investor Relations Department Crew - 4 agents for fundraising readiness"
9,"legal_department_crew","agent-platform/app/crews/legal_department_crew.py","LegalDepartmentCrew",0,147,NO,"Legal & Compliance Department Crew - 3 agents for regulatory, IP, and contracts"
10,"marketing_department_crew","agent-platform/app/crews/marketing_department_crew.py","MarketingDepartmentCrew",0,37,NO,"Marketing Department Crew - 4 agents for market analysis and positioning"
11,"product_management_crew","agent-platform/app/crews/product_management_crew.py","ProductManagementCrew",0,94,NO,"Product Management Crew - 3 agents for PMF, roadmap, and prioritization"
12,"quick_validation_crew","agent-platform/app/crews/quick_validation_crew.py","QuickValidationCrew",0,264,NO,"Quick Validation Crew for rapid venture assessment      Composition:     - 4 specialized agents exec"
13,"rd_department_crew","agent-platform/app/crews/rd_department_crew.py","RDDepartmentCrew",0,216,NO,"R&D Department Crew      Coordinates 3 specialized R&D agents:     1. Idea Enhancement Agent - Sugge"
14,"sales_department_crew","agent-platform/app/crews/sales_department_crew.py","SalesDepartmentCrew",0,130,NO,"Sales Department Crew - 3 agents for GTM, enablement, and channel strategy"
15,"sequential_crew","agent-platform/app/crews/sequential_crew.py","SequentialCrew",0,278,NO,"Sequential crew orchestration for multi-agent research      Executes agents one after another, passi"
16,"technical_crew","agent-platform/app/crews/technical_crew.py","TechnicalCrew",0,201,NO,"Technical/Engineering Department Crew - 5 agents for complete technical assessment"
