Index,File Name,File Path,Class Name,Category,Role,Goal,Line Count,In Database,Description
1,"ad_campaign_agent","agent-platform/app/agents/advertising/ad_campaign_agent.py","AdCampaignAgent","advertising","Creative Campaign Director","",423,NO,"Ad Campaign Agent - Advertising Department      Develops creative advertising campaigns including ca"
2,"media_planning_agent","agent-platform/app/agents/advertising/media_planning_agent.py","MediaPlanningAgent","advertising","Media Strategy Lead","",467,NO,"Media Planning Agent - Advertising Department      Develops media strategy including channel selecti"
3,"performance_marketing_agent","agent-platform/app/agents/advertising/performance_marketing_agent.py","PerformanceMarketingAgent","advertising","Performance Marketing Manager","",498,NO,"Performance Marketing Agent - Advertising Department      Optimizes advertising performance through "
4,"base_agent","agent-platform/app/agents/base_agent.py","BaseResearchAgent","core","{self.config.role}","",565,NO,"Base class for all research agents in the platform      This class handles:     - CrewAI Agent insta"
5,"brand_positioning_agent","agent-platform/app/agents/branding/brand_positioning_agent.py","BrandPositioningAgent","branding","Brand Strategy Lead","",356,NO,"Brand Positioning Agent - Branding Department      Defines brand positioning strategy including targ"
6,"identity_agent","agent-platform/app/agents/branding/identity_agent.py","IdentityAgent","branding","Visual Identity Designer","",441,NO,"Identity Agent - Branding Department      Defines visual brand identity including logo concepts, col"
7,"messaging_agent","agent-platform/app/agents/branding/messaging_agent.py","MessagingAgent","branding","Brand Messaging Strategist","",375,NO,"Messaging Agent - Branding Department      Develops brand messaging framework including key messages"
8,"ceo_agent","agent-platform/app/agents/ceo_agent.py","CEOAgent","core","Chief Executive Officer","",372,NO,""
9,"complexity_assessment","agent-platform/app/agents/complexity_assessment.py","ComplexityAssessmentAgent","core","Venture Complexity Analyst","Assess venture complexity across novelty, investment, and strategic dimensions to recommend appropri",398,NO,"Agent specialized in venture complexity assessment for tier recommendation      Responsibilities:   "
10,"coo_agent","agent-platform/app/agents/coo_agent.py","COOAgent","core","Chief Operating Officer","",478,NO,""
11,"customer_research_agent","agent-platform/app/agents/customer_success/customer_research_agent.py","CustomerResearchAgent","customer_success","Customer Insights Lead","",314,NO,"Customer Research Agent - Customer Success Department      Analyzes customer feedback, satisfaction,"
12,"retention_analysis_agent","agent-platform/app/agents/customer_success/retention_analysis_agent.py","RetentionAnalysisAgent","customer_success","Retention Analytics Lead","",373,NO,"Retention Analysis Agent - Customer Success Department      Analyzes customer retention, churn patte"
13,"burn_rate_agent","agent-platform/app/agents/finance/burn_rate_agent.py","BurnRateAgent","finance","Cash Management Analyst","",350,NO,"Burn Rate Agent - Finance Department      Analyzes cash burn rate, runway calculations, cash managem"
14,"financial_viability_agent","agent-platform/app/agents/finance/financial_viability_agent.py","FinancialViabilityAgent","finance","Financial Analyst","",283,NO,"Financial Viability Agent - Finance Department      Analyzes financial viability including revenue p"
15,"investment_analysis_agent","agent-platform/app/agents/finance/investment_analysis_agent.py","InvestmentAnalysisAgent","finance","Investment Analyst","",344,NO,"Investment Analysis Agent - Finance Department      Analyzes investment opportunity from investor pe"
